algo,run_tag,seed,timesteps,pct_of_training,wall_clock_min,success_rate_within_time_fraction,reached_at_all_rate,avg_steps_to_reach,avg_final_distance,avg_min_distance
ddpg,noise03,0,50000,5.0,5.866666666666666,0.0,0.0,,0.2255455701297003,0.21113622223501088
ddpg,noise03,0,75000,7.5,9.925,0.0,0.0,,0.22785086222858109,0.21572455955621334
ddpg,noise03,0,100000,10.0,13.7,0.0,0.0,,0.17954863100699087,0.17449927242303165
ddpg,noise03,0,125000,12.5,17.216666666666665,0.0,0.0,,0.16629277238950121,0.14903695060230052
ddpg,noise03,0,150000,15.0,20.75,0.0,0.0,,0.10206943982441415,0.09513695458596985
ddpg,noise03,0,175000,17.5,24.225,0.0,0.0,,0.16979907645995848,0.14009151052554422
ddpg,noise03,0,200000,20.0,27.8,0.0,0.0,,0.0875165751138659,0.08673336914046402
ddpg,noise03,0,225000,22.5,31.316666666666666,0.0,0.0,,0.07591531504016198,0.07591531381678401
ddpg,noise03,0,250000,25.0,35.06666666666667,0.0,0.0,,0.06648294054134299,0.0643469737126158
ddpg,noise03,0,275000,27.5,38.95,0.0,0.0,,0.09057373040035742,0.08461745952777991
ddpg,noise03,0,300000,30.0,42.63333333333333,0.5,0.5,73.6,0.08434017656083195,0.056327295922944345
ddpg,noise03,0,325000,32.5,46.275,0.3,0.3,92.0,0.055617015696253894,0.05512091114447313
ddpg,noise03,0,350000,35.0,49.983333333333334,0.0,0.0,,0.15325145077239494,0.13297217413405815
ddpg,noise03,0,375000,37.5,53.95,0.0,0.0,,0.07392873121026002,0.06928374133510609
ddpg,noise03,0,400000,40.0,57.666666666666664,0.2,0.2,73.5,0.06305606946923109,0.059063148275231056
ddpg,noise03,0,425000,42.5,61.25833333333333,0.0,0.0,,0.08790626071282703,0.08258710359100346
ddpg,noise03,0,450000,45.0,64.88333333333334,0.4,0.4,89.75,0.05842880951116136,0.055791166644448296
ddpg,noise03,0,475000,47.5,68.525,0.0,0.0,,0.15318667863452823,0.15290082565971325
ddpg,noise03,0,500000,50.0,72.11666666666666,0.0,0.0,,0.1637699541029231,0.14777773024450527
ddpg,noise03,0,525000,52.5,75.76666666666667,0.0,0.0,,0.11105983203659771,0.10502381397584248
ddpg,noise03,0,550000,55.0,79.45,0.0,0.0,,0.11420286886374224,0.11285988717968998
ddpg,noise03,0,575000,57.5,83.08333333333333,0.0,0.0,,0.08627490491067208,0.07963555911906403
ddpg,noise03,0,600000,60.0,86.76666666666667,0.0,0.0,,0.07443803061365563,0.07112296257081432
ddpg,noise03,0,625000,62.5,90.425,0.1,0.1,96.0,0.08107968385233197,0.07856292261385919
ddpg,noise03,0,650000,65.0,94.13333333333334,0.0,0.0,,0.12064738123666878,0.1054334161436854
ddpg,noise03,0,675000,67.5,97.8,0.0,0.0,,0.18681372578061364,0.1528128768191928
ddpg,noise03,0,700000,70.0,101.51666666666667,0.0,0.0,,0.09821426163509378,0.09368005110107573
ddpg,noise03,0,725000,72.5,105.19166666666666,0.1,0.1,98.0,0.09708893134307875,0.0852894739177213
ddpg,noise03,0,750000,75.0,108.88333333333334,0.0,0.0,,0.13736940089952926,0.11579399578224499
ddpg,noise03,0,775000,77.5,112.58333333333333,0.0,0.0,,0.10270488548193069,0.10270488548193069
ddpg,noise03,0,800000,80.0,116.25,0.0,0.0,,0.08363874330145052,0.07713480277280613
ddpg,noise03,0,825000,82.5,119.96666666666667,0.1,0.1,76.0,0.08344571052892012,0.07557093525447686
ddpg,noise03,0,850000,85.0,123.63333333333334,0.0,0.0,,0.10819968690969309,0.10137617433104854
ddpg,noise03,0,875000,87.5,127.35,0.1,0.1,91.0,0.11543271499102911,0.10761542819551062
ddpg,noise03,0,900000,90.0,131.11666666666667,0.1,0.1,98.0,0.07075228453525212,0.06773388711644843
ddpg,noise03,0,925000,92.5,134.81666666666666,0.0,0.0,,0.14389289326060245,0.1354666378748792
ddpg,noise03,0,950000,95.0,138.58333333333334,0.0,0.0,,0.09995289791671862,0.09356336788913637
ddpg,noise03,0,975000,97.5,142.275,0.0,0.0,,0.11900561934629957,0.11635246578982891
ddpg,noise03,0,1000000,100.0,145.65,0.1,0.1,94.0,0.09069933785992619,0.08455923401468234
