algo,seed,timesteps,pct_of_training,wall_clock_min,success_rate_within_time_fraction,reached_at_all_rate,avg_steps_to_reach,avg_final_distance,avg_min_distance
td3,1,250000,83.33333333333333,20.583333333333332,0.4,1.0,17.0,0.008158494407544289,0.005268606058156193
td3,1,275000,91.66666666666667,22.816666666666666,0.5,1.0,17.6,0.011984815866800969,0.006698392008164708
td3,1,300000,100.0,25.133333333333333,0.6,1.0,18.333333333333332,0.010022724960490517,0.0038260757282073095
td3,2,25000,8.333333333333334,1.2,0.0,0.5,,0.033773784072507154,0.019421399333700816
td3,2,50000,16.666666666666668,3.183333333333333,0.3,1.0,19.333333333333332,0.02908416852764713,0.010408460434228526
td3,2,75000,25.0,5.183333333333334,0.4,0.7,18.5,0.01675409432884566,0.013056106615257532
td3,2,100000,33.333333333333336,7.266666666666667,0.4,1.0,18.0,0.010838168469287458,0.008824616716718116
td3,2,125000,41.666666666666664,9.433333333333334,0.2,1.0,17.5,0.012871474668073746,0.008786373400657344
td3,2,150000,50.0,11.616666666666667,0.8,1.0,18.875,0.010415572646586912,0.00624706818302351
td3,2,175000,58.333333333333336,13.85,0.5,1.0,18.0,0.005088483264394856,0.004001344015913011
td3,2,200000,66.66666666666667,16.066666666666666,0.5,1.0,18.8,0.007997208193804265,0.006216284051558434
td3,2,225000,75.0,18.316666666666666,0.2,1.0,18.0,0.009562918631741309,0.006621730619314222
td3,2,250000,83.33333333333333,20.583333333333332,0.4,1.0,18.25,0.008308425575502884,0.007998639450594638
td3,2,275000,91.66666666666667,22.816666666666666,0.3,1.0,18.666666666666668,0.005202047802994993,0.0036136682980235984
td3,2,300000,100.0,25.083333333333332,0.4,1.0,18.75,0.005491382676614242,0.0023768054543767906
td3,3,25000,8.333333333333334,1.9666666666666666,0.0,0.3,,0.038849766919221006,0.024112836833608438
td3,3,50000,16.666666666666668,5.216666666666667,0.5,0.7,17.6,0.025312478358716937,0.011118157861259652
td3,3,75000,25.0,8.433333333333334,0.4,1.0,18.25,0.009448731834301739,0.006552627489847343
td3,3,100000,33.333333333333336,11.933333333333334,0.2,0.9,17.5,0.02274146865913631,0.010495136341492056
td3,3,125000,41.666666666666664,15.483333333333333,0.3,1.0,17.666666666666668,0.014383411008850589,0.008109388717419438
td3,3,150000,50.0,19.1,0.7,1.0,19.142857142857142,0.007925826282243848,0.003970070915183275
td3,3,175000,58.333333333333336,22.883333333333333,0.6,1.0,18.0,0.010887463452135461,0.007354888593480656
td3,3,200000,66.66666666666667,26.533333333333335,0.8,1.0,18.125,0.011033120738853649,0.006962133447068629
td3,3,225000,75.0,30.116666666666667,0.6,1.0,18.333333333333332,0.00914911216386614,0.006031856261985805
td3,3,250000,83.33333333333333,33.78333333333333,1.0,1.0,18.5,0.008559898650334342,0.0061876356182081925
td3,3,275000,91.66666666666667,37.45,0.6,1.0,18.833333333333332,0.008674125364784006,0.006796171581457562
td3,3,300000,100.0,41.13333333333333,0.9,1.0,18.22222222222222,0.007436920853429482,0.006552810976512521
td3,4,25000,8.333333333333334,1.9666666666666666,0.0,0.4,,0.04796624901341731,0.027180309222642002
td3,4,50000,16.666666666666668,5.216666666666667,0.4,0.9,19.5,0.027093154692743128,0.011342432543940736
td3,4,75000,25.0,8.433333333333334,0.3,0.8,18.666666666666668,0.014396998261476357,0.012925965139277957
td3,4,100000,33.333333333333336,11.883333333333333,0.3,0.9,19.333333333333332,0.013548660622526715,0.007839268390874437
td3,4,125000,41.666666666666664,15.416666666666666,0.5,1.0,19.4,0.012043622375754227,0.007924241321542493
td3,4,150000,50.0,19.033333333333335,0.6,1.0,18.333333333333332,0.009441694654506068,0.006108195532139991
td3,4,175000,58.333333333333336,22.816666666666666,0.2,1.0,17.5,0.009038047103897334,0.004001652784435278
td3,4,200000,66.66666666666667,26.45,0.5,1.0,18.4,0.007726640249838693,0.006792746293897281
td3,4,225000,75.0,30.033333333333335,0.6,1.0,18.333333333333332,0.008054732403187605,0.005752616235954808
td3,4,250000,83.33333333333333,33.68333333333333,0.4,1.0,17.25,0.006359523305641747,0.004688579262337852
td3,4,275000,91.66666666666667,37.31666666666667,0.5,1.0,17.8,0.006879615514691348,0.005336118883205015
td3,4,300000,100.0,41.016666666666666,0.5,1.0,18.6,0.006422405054459165,0.0046082808392861425
td3,5,25000,8.333333333333334,1.95,0.1,0.4,19.0,0.03137673421389984,0.021931789334066032
td3,5,50000,16.666666666666668,5.2,0.1,0.7,17.0,0.01559353608550978,0.012446020661546962
td3,5,75000,25.0,8.416666666666666,0.1,0.8,18.0,0.014534052014103589,0.012778870089046702
td3,5,100000,33.333333333333336,11.9,0.2,0.9,17.0,0.012847240903955453,0.010153407978608125
td3,5,125000,41.666666666666664,15.466666666666667,0.4,1.0,18.5,0.011612223942816025,0.008624388909085453
td3,5,150000,50.0,19.116666666666667,0.2,0.9,18.0,0.014255725912824455,0.009548766344846958
td3,5,175000,58.333333333333336,22.916666666666668,0.2,1.0,19.5,0.013218853248614135,0.00772626224038309
td3,5,200000,66.66666666666667,26.616666666666667,0.4,1.0,18.25,0.011372221656696397,0.007904748704532559
td3,5,225000,75.0,30.233333333333334,0.3,1.0,19.0,0.010635051911560752,0.005143064966841716
td3,5,250000,83.33333333333333,33.95,0.3,1.0,19.333333333333332,0.010932360848293712,0.004814186506445441
td3,5,275000,91.66666666666667,37.63333333333333,0.5,1.0,18.4,0.006132559899718914,0.004252176696223376
td3,5,300000,100.0,41.3,0.4,1.0,18.75,0.007859614985859556,0.005406724784651805
sac,0,25000,8.333333333333334,1.6166666666666667,0.1,0.1,18.0,0.05783328580678095,0.05043291655129043
sac,0,50000,16.666666666666668,4.283333333333333,0.1,0.2,18.0,0.06714730748286676,0.04510195983029792
sac,0,75000,25.0,6.966666666666667,0.3,0.7,19.666666666666668,0.024790683726431385,0.01954594386175255
sac,0,100000,33.333333333333336,9.7,0.1,0.6,17.0,0.018754923820592375,0.01747614328740875
sac,0,125000,41.666666666666664,12.433333333333334,0.3,0.9,17.666666666666668,0.01155064877390105,0.010405181952723917
sac,0,150000,50.0,15.166666666666666,0.4,0.9,18.0,0.012080618663131744,0.009369664184326602
sac,0,175000,58.333333333333336,17.916666666666668,0.4,1.0,18.0,0.01087300544353324,0.0071980782239676345
sac,0,200000,66.66666666666667,20.666666666666668,0.6,1.0,17.833333333333332,0.018989916233673104,0.008786214773058087
sac,0,225000,75.0,23.433333333333334,0.8,1.0,17.75,0.009352974413495207,0.0070909108188398
sac,0,250000,83.33333333333333,26.216666666666665,0.9,1.0,17.444444444444443,0.009049339427219923,0.005623764018904784
sac,0,275000,91.66666666666667,28.95,0.9,1.0,17.77777777777778,0.006322641639111127,0.004561910417399222
sac,0,300000,100.0,31.716666666666665,0.9,1.0,18.22222222222222,0.006268616361361343,0.003780770326096259
