algo,seed,timesteps,pct_of_training,wall_clock_min,success_rate_within_40pct,reached_at_all_rate,avg_steps_to_reach
sac,2,50000,16.666666666666668,4.75,0.1,0.7,20.0
sac,2,75000,25.0,7.783333333333333,0.3,0.5,17.333333333333332
sac,2,100000,33.333333333333336,10.766666666666667,0.4,0.8,18.5
sac,2,125000,41.666666666666664,13.783333333333333,0.1,1.0,19.0
sac,2,150000,50.0,16.766666666666666,0.5,1.0,18.2
sac,2,175000,58.333333333333336,19.783333333333335,0.5,1.0,18.6
sac,2,200000,66.66666666666667,22.816666666666666,0.8,1.0,18.5
sac,2,225000,75.0,25.833333333333332,0.6,1.0,17.833333333333332
sac,2,250000,83.33333333333333,28.866666666666667,0.8,1.0,18.625
sac,2,275000,91.66666666666667,31.916666666666668,0.9,1.0,18.22222222222222
sac,2,300000,100.0,34.95,0.8,1.0,17.875
ppo,0,25000,2.5,0.23333333333333334,0.0,0.1,
ppo,0,50000,5.0,0.5109375,0.1,0.3,18.0
ppo,0,75000,7.5,0.75,0.2,0.5,19.5
ppo,0,100000,10.0,1.021875,0.0,0.4,
ppo,0,125000,12.5,1.2666666666666666,0.0,0.4,
ppo,0,150000,15.0,1.5333333333333334,0.0,0.0,
ppo,0,175000,17.5,1.7799479166666667,0.0,0.4,
ppo,0,200000,20.0,2.05,0.0,0.2,
ppo,0,225000,22.5,2.290885416666667,0.0,0.6,
ppo,0,250000,25.0,2.566666666666667,0.0,0.5,
ppo,0,275000,27.5,2.8018229166666666,0.0,0.4,
ppo,0,300000,30.0,3.066666666666667,0.0,0.8,
ppo,0,325000,32.5,3.316666666666667,0.0,0.7,
ppo,0,350000,35.0,3.5833333333333335,0.0,0.8,
ppo,0,375000,37.5,3.8236979166666667,0.0,0.8,
ppo,0,400000,40.0,4.1,0.1,0.7,20.0
ppo,0,425000,42.5,4.333333333333333,0.0,0.7,
ppo,0,450000,45.0,4.615104166666667,0.0,0.7,
ppo,0,475000,47.5,4.85,0.1,0.9,20.0
ppo,0,500000,50.0,5.107291666666667,0.0,0.9,
ppo,0,525000,52.5,5.366666666666666,0.0,0.7,
ppo,0,550000,55.0,5.626041666666667,0.0,0.9,
ppo,0,575000,57.5,5.866666666666666,0.1,0.7,19.0
ppo,0,600000,60.0,6.11875,0.0,1.0,
ppo,0,625000,62.5,6.383333333333334,0.0,0.7,
ppo,0,650000,65.0,6.632291666666666,0.0,1.0,
ppo,0,675000,67.5,6.883333333333334,0.0,1.0,
ppo,0,700000,70.0,7.133333333333334,0.0,1.0,
ppo,0,725000,72.5,7.366927083333334,0.0,1.0,
ppo,0,750000,75.0,7.633333333333334,0.1,1.0,20.0
ppo,0,775000,77.5,7.866666666666666,0.1,1.0,20.0
ppo,0,800000,80.0,8.133333333333333,0.0,1.0,
ppo,0,825000,82.5,8.35546875,0.1,1.0,19.0
ppo,0,850000,85.0,8.616666666666667,0.0,1.0,
ppo,0,875000,87.5,8.833333333333334,0.2,1.0,18.5
ppo,0,900000,90.0,9.096875,0.1,1.0,20.0
ppo,0,925000,92.5,9.316666666666666,0.0,1.0,
ppo,0,950000,95.0,9.566666666666666,0.0,1.0,
ppo,0,975000,97.5,9.816666666666666,0.3,1.0,20.0
ppo,0,1000000,100.0,10.033333333333333,0.0,1.0,
ppo,1,25000,2.5,0.25,0.2,0.2,18.5
ppo,1,50000,5.0,0.4666666666666667,0.0,0.0,
ppo,1,75000,7.5,0.7166666666666667,0.0,0.2,
ppo,1,100000,10.0,0.95,0.0,0.2,
ppo,1,125000,12.5,1.2,0.0,0.0,
ppo,1,150000,15.0,1.4166666666666667,0.0,0.2,
ppo,1,175000,17.5,1.6666666666666667,0.0,0.1,
ppo,1,200000,20.0,1.89375,0.0,0.4,
ppo,1,225000,22.5,2.1333333333333333,0.0,0.7,
ppo,1,250000,25.0,2.3546875,0.0,0.6,
ppo,1,275000,27.5,2.601822916666667,0.0,0.7,
ppo,1,300000,30.0,2.85,0.0,0.5,
ppo,1,325000,32.5,3.0794270833333335,0.0,0.7,
ppo,1,350000,35.0,3.3265625,0.0,0.8,
ppo,1,375000,37.5,3.5403645833333335,0.0,0.7,
ppo,1,400000,40.0,3.7875,0.0,0.7,
ppo,1,425000,42.5,4.001302083333333,0.0,0.7,
ppo,1,450000,45.0,4.25,0.0,1.0,
ppo,1,475000,47.5,4.466666666666667,0.0,1.0,
ppo,1,500000,50.0,4.709375,0.0,1.0,
ppo,1,525000,52.5,4.923177083333333,0.1,1.0,20.0
ppo,1,550000,55.0,5.166666666666667,0.0,0.7,
ppo,1,575000,57.5,5.416666666666667,0.0,0.9,
ppo,1,600000,60.0,5.63125,0.0,1.0,
ppo,1,625000,62.5,5.866666666666666,0.0,0.5,
ppo,1,650000,65.0,6.083333333333333,0.0,0.9,
ppo,1,675000,67.5,6.333333333333333,0.2,1.0,19.0
ppo,1,700000,70.0,6.55,0.2,0.9,20.0
ppo,1,725000,72.5,6.78359375,0.1,1.0,18.0
ppo,1,750000,75.0,7.0,0.2,0.9,18.5
ppo,1,775000,77.5,7.25,0.1,1.0,20.0
ppo,1,800000,80.0,7.475,0.0,1.0,
ppo,1,825000,82.5,7.722135416666666,0.0,1.0,
ppo,1,850000,85.0,7.95,0.1,0.9,20.0
ppo,1,875000,87.5,8.199739583333333,0.1,0.9,20.0
ppo,1,900000,90.0,8.446875,0.0,1.0,
ppo,1,925000,92.5,8.666666666666666,0.0,1.0,
ppo,1,950000,95.0,8.916666666666666,0.0,0.9,
ppo,1,975000,97.5,9.133333333333333,0.1,0.8,20.0
ppo,1,1000000,100.0,9.383333333333333,0.1,1.0,18.0
ppo,2,25000,2.5,0.21666666666666667,0.0,0.2,
ppo,2,50000,5.0,0.4666666666666667,0.0,0.5,
ppo,2,75000,7.5,0.69140625,0.1,0.1,19.0
ppo,2,100000,10.0,0.95,0.0,0.0,
ppo,2,125000,12.5,1.1690104166666666,0.0,0.0,
ppo,2,150000,15.0,1.4328125,0.2,0.2,17.5
ppo,2,175000,17.5,1.65,0.0,0.4,
ppo,2,200000,20.0,1.9,0.0,0.2,
ppo,2,225000,22.5,2.12421875,0.0,0.2,
ppo,2,250000,25.0,2.3833333333333333,0.0,0.7,
ppo,2,275000,27.5,2.601822916666667,0.0,0.7,
ppo,2,300000,30.0,2.85,0.0,0.6,
ppo,2,325000,32.5,3.066666666666667,0.0,0.7,
ppo,2,350000,35.0,3.316666666666667,0.0,0.7,
ppo,2,375000,37.5,3.5596354166666666,0.1,0.8,18.0
ppo,2,400000,40.0,3.7875,0.0,0.8,
ppo,2,425000,42.5,4.034635416666666,0.0,0.9,
ppo,2,450000,45.0,4.25,0.0,1.0,
ppo,2,475000,47.5,4.5,0.0,0.9,
ppo,2,500000,50.0,4.726041666666666,0.0,0.8,
ppo,2,525000,52.5,4.966666666666667,0.0,0.6,
ppo,2,550000,55.0,5.186979166666666,0.0,0.9,
ppo,2,575000,57.5,5.434114583333334,0.2,1.0,20.0
ppo,2,600000,60.0,5.65,0.1,0.9,20.0
ppo,2,625000,62.5,5.9,0.0,1.0,
ppo,2,650000,65.0,6.116666666666666,0.0,0.8,
ppo,2,675000,67.5,6.366666666666666,0.1,0.9,20.0
ppo,2,700000,70.0,6.603125,0.1,0.8,20.0
ppo,2,725000,72.5,6.833333333333333,0.2,1.0,18.5
ppo,2,750000,75.0,7.066666666666666,0.1,0.7,19.0
ppo,2,775000,77.5,7.29453125,0.1,0.8,20.0
ppo,2,800000,80.0,7.533333333333333,0.1,1.0,20.0
ppo,2,825000,82.5,7.783333333333333,0.1,0.9,19.0
ppo,2,850000,85.0,7.983333333333333,0.2,1.0,19.0
ppo,2,875000,87.5,8.216666666666667,0.1,0.8,19.0
ppo,2,900000,90.0,8.446875,0.1,1.0,18.0
ppo,2,925000,92.5,8.683333333333334,0.1,0.9,20.0
ppo,2,950000,95.0,8.9078125,0.1,1.0,20.0
ppo,2,975000,97.5,9.15,0.1,1.0,20.0
ppo,2,1000000,100.0,9.4,0.0,0.9,
ddpg_1critic,0,25000,8.333333333333334,1.15,0.2,0.2,13.5
ddpg_1critic,0,50000,16.666666666666668,3.033333333333333,0.2,0.5,18.5
ddpg_1critic,0,75000,25.0,4.95,0.5,0.8,17.8
ddpg_1critic,0,100000,33.333333333333336,6.9,0.4,1.0,17.25
ddpg_1critic,0,125000,41.666666666666664,8.95,0.7,0.9,17.857142857142858
ddpg_1critic,0,150000,50.0,11.016666666666667,0.7,1.0,18.142857142857142
ddpg_1critic,0,175000,58.333333333333336,13.066666666666666,0.8,1.0,17.375
ddpg_1critic,0,200000,66.66666666666667,15.1,0.7,1.0,17.285714285714285
ddpg_1critic,0,225000,75.0,17.183333333333334,0.3,0.8,17.333333333333332
ddpg_1critic,0,250000,83.33333333333333,19.233333333333334,0.6,1.0,16.666666666666668
ddpg_1critic,0,275000,91.66666666666667,21.3,0.5,1.0,17.8
ddpg_1critic,0,300000,100.0,23.366666666666667,0.9,1.0,18.22222222222222
ddpg_1critic,1,25000,8.333333333333334,1.15,0.0,0.0,
ddpg_1critic,1,50000,16.666666666666668,3.0166666666666666,0.5,0.7,18.0
ddpg_1critic,1,75000,25.0,4.9,0.5,1.0,19.2
ddpg_1critic,1,100000,33.333333333333336,6.883333333333334,0.8,1.0,18.25
ddpg_1critic,1,125000,41.666666666666664,8.916666666666666,0.5,1.0,17.0
ddpg_1critic,1,150000,50.0,10.983333333333333,0.9,1.0,17.444444444444443
ddpg_1critic,1,175000,58.333333333333336,13.033333333333333,0.7,1.0,17.571428571428573
ddpg_1critic,1,200000,66.66666666666667,15.1,0.9,1.0,17.11111111111111
ddpg_1critic,1,225000,75.0,17.166666666666668,0.6,1.0,17.166666666666668
ddpg_1critic,1,250000,83.33333333333333,19.25,1.0,1.0,17.4
ddpg_1critic,1,275000,91.66666666666667,21.35,0.6,1.0,18.0
ddpg_1critic,1,300000,100.0,23.466666666666665,0.9,1.0,17.666666666666668
ddpg_1critic,2,25000,8.333333333333334,1.2666666666666666,0.1,0.1,16.0
ddpg_1critic,2,50000,16.666666666666668,3.2666666666666666,0.3,0.7,17.666666666666668
ddpg_1critic,2,75000,25.0,5.25,0.3,0.9,17.333333333333332
ddpg_1critic,2,100000,33.333333333333336,7.4,0.5,1.0,17.8
ddpg_1critic,2,125000,41.666666666666664,9.583333333333334,0.6,1.0,17.833333333333332
ddpg_1critic,2,150000,50.0,11.816666666666666,0.5,1.0,17.0
ddpg_1critic,2,175000,58.333333333333336,14.016666666666667,0.8,1.0,17.0
ddpg_1critic,2,200000,66.66666666666667,16.283333333333335,0.8,1.0,17.375
ddpg_1critic,2,225000,75.0,18.516666666666666,0.7,1.0,17.0
ddpg_1critic,2,250000,83.33333333333333,20.783333333333335,0.6,1.0,17.5
ddpg_1critic,2,275000,91.66666666666667,23.033333333333335,0.5,1.0,19.0
ddpg_1critic,2,300000,100.0,25.283333333333335,1.0,1.0,18.1
