algo,seed,timesteps,pct_of_training,success_rate_within_40pct,avg_steps_to_reach
ddpg_1critic,0,50000,16.666666666666668,0.2,18.5
ddpg_1critic,0,75000,25.0,0.5,17.8
ddpg_1critic,0,100000,33.333333333333336,0.4,17.25
ddpg_1critic,0,125000,41.666666666666664,0.7,17.857142857142858
ddpg_1critic,0,150000,50.0,0.7,18.142857142857142
ddpg_1critic,0,175000,58.333333333333336,0.8,17.375
ddpg_1critic,0,200000,66.66666666666667,0.7,17.285714285714285
ddpg_1critic,0,225000,75.0,0.3,17.333333333333332
ddpg_1critic,0,250000,83.33333333333333,0.6,16.666666666666668
ddpg_1critic,0,275000,91.66666666666667,0.5,17.8
ddpg_1critic,0,300000,100.0,0.9,18.22222222222222
ddpg_1critic,1,25000,8.333333333333334,0.0,
ddpg_1critic,1,50000,16.666666666666668,0.5,18.0
ddpg_1critic,1,75000,25.0,0.5,19.2
ddpg_1critic,1,100000,33.333333333333336,0.8,18.25
ddpg_1critic,1,125000,41.666666666666664,0.5,17.0
ddpg_1critic,1,150000,50.0,0.9,17.444444444444443
ddpg_1critic,1,175000,58.333333333333336,0.7,17.571428571428573
ddpg_1critic,1,200000,66.66666666666667,0.9,17.11111111111111
ddpg_1critic,1,225000,75.0,0.6,17.166666666666668
ddpg_1critic,1,250000,83.33333333333333,1.0,17.4
ddpg_1critic,1,275000,91.66666666666667,0.6,18.0
ddpg_1critic,1,300000,100.0,0.9,17.666666666666668
ddpg_1critic,2,25000,8.333333333333334,0.1,16.0
ddpg_1critic,2,50000,16.666666666666668,0.3,17.666666666666668
ddpg_1critic,2,75000,25.0,0.3,17.333333333333332
ddpg_1critic,2,100000,33.333333333333336,0.5,17.8
ddpg_1critic,2,125000,41.666666666666664,0.6,17.833333333333332
ddpg_1critic,2,150000,50.0,0.5,17.0
ddpg_1critic,2,175000,58.333333333333336,0.8,17.0
ddpg_1critic,2,200000,66.66666666666667,0.8,17.375
ddpg_1critic,2,225000,75.0,0.7,17.0
ddpg_1critic,2,250000,83.33333333333333,0.6,17.5
ddpg_1critic,2,275000,91.66666666666667,0.5,19.0
ddpg_1critic,2,300000,100.0,1.0,18.1
